#obswave  flux    err
4023.4629 10.7064 1.07182
4024.3894 9.79621 1.05641
4025.3162 9.02396 1.06717
4026.2432 9.32978 1.04479
4027.1703 6.83611 1.02270
4028.0977 8.96577 1.02120
4029.0254 7.68007 1.01630
4029.9532 7.22559 1.02185
4030.8812 7.72367 1.01118
4031.8095 7.32826 1.01229
4032.7379 6.11391 0.986998
4033.6666 4.48456 0.975199
4034.5955 9.13042 1.02784
4035.5246 7.52438 1.20007
4036.4539 6.89036 1.52292
4037.3835 10.5390 1.55677
4038.3132 8.16409 1.02411
4039.2432 9.02977 1.01570
4040.1734 9.12068 1.02704
4041.1037 9.92443 1.02115
4042.0344 9.88249 1.04802
4042.9652 9.07640 1.06435
4043.8962 10.0353 1.08378
4044.8275 8.73946 1.05793
4045.7589 10.8717 1.10549
4046.6906 10.7451 1.16839
4047.6225 9.60365 1.19576
4048.5546 9.61875 1.13817
4049.4869 8.69191 1.06702
4050.4195 7.83579 1.14794
4051.3522 9.45558 1.15445
4052.2852 8.06995 1.07175
4053.2183 7.60483 1.02449
4054.1517 10.4026 1.06213
4055.0854 10.7108 1.05715
4056.0192 8.02318 1.02336
4056.9532 9.43250 1.00626
4057.8875 7.59395 0.976049
4058.8219 7.72036 0.999715
4059.7566 10.1563 1.04007
4060.6915 6.25139 0.994250
4061.6267 8.58017 0.963939
4062.5620 8.77081 0.988313
4063.4975 8.27185 0.993112
4064.4333 7.69779 1.03275
4065.3693 6.82709 1.02288
4066.3055 6.24462 1.03018
4067.2419 5.48615 1.00052
4068.1785 7.66043 1.02185
4069.1153 9.29700 1.09993
4070.0524 9.24577 1.30325
4070.9897 9.86971 1.25175
4071.9272 11.5739 1.05488
4072.8649 6.14656 0.950396
4073.8028 6.93015 0.906797
4074.7409 7.17802 0.939811
4075.6793 6.53515 0.989503
4076.6178 7.32174 1.05541
4077.5566 8.12412 1.07462
4078.4956 8.90804 1.03839
4079.4348 7.48184 1.01182
4080.3743 7.40449 1.00557
4081.3139 8.74248 1.01451
4082.2538 9.51866 1.01252
4083.1939 9.14941 0.995599
4084.1342 9.33417 0.996444
4085.0747 10.6964 1.01638
4086.0154 9.53710 1.00026
4086.9564 9.55682 1.00719
4087.8975 11.1811 1.03963
4088.8389 8.83612 1.01429
4089.7805 8.62879 1.02248
4090.7223 10.2266 1.03144
4091.6643 9.95423 1.02401
4092.6066 9.26865 0.995713
4093.5491 9.20559 0.974537
4094.4917 8.11611 0.946904
4095.4346 9.32502 0.960473
4096.3778 12.0409 1.13730
4097.3211 10.9181 1.13042
4098.2646 9.22386 0.966240
4099.2084 8.64822 0.945118
4100.1524 6.75043 0.929290
4101.0966 11.7794 1.15662
4102.0410 10.0024 1.14070
4102.9857 9.01892 1.00259
4103.9305 10.0216 1.01861
4104.8756 10.5858 1.02122
4105.8209 11.2155 0.997658
4106.7664 10.9910 0.962357
4107.7121 11.5429 0.988806
4108.6581 9.35749 0.957594
4109.6042 8.53692 0.980053
4110.5506 10.0758 0.985234
4111.4972 8.73775 0.965240
4112.4440 10.5612 0.973013
4113.3911 11.3103 0.979456
4114.3383 9.64705 0.951187
4115.2858 8.71330 0.965911
4116.2335 10.6538 1.01158
4117.1814 12.5878 1.02609
4118.1295 9.81589 0.973354
4119.0778 11.2419 0.980816
4120.0264 9.56984 0.925094
4120.9752 8.81616 0.922496
4121.9242 9.68784 0.920216
4122.8734 5.70404 0.904269
4123.8228 11.4237 0.957734
4124.7725 10.1613 1.00097
4125.7224 8.65898 0.979724
4126.6725 10.0121 0.987763
4127.6228 11.7570 0.998488
4128.5733 12.1738 0.997792
4129.5241 12.3678 0.967419
4130.4750 9.56981 0.926017
4131.4262 10.1184 0.934833
4132.3776 11.4930 0.961850
4133.3292 10.1569 0.938576
4134.2811 8.39025 0.952230
4135.2331 6.70053 0.951923
4136.1854 8.05565 0.968799
4137.1379 9.44719 0.963728
4138.0906 9.81347 0.978358
4139.0436 8.83847 0.969490
4139.9967 7.04493 0.982619
4140.9501 9.98046 0.989096
4141.9037 7.98970 0.964441
4142.8575 9.48062 0.937759
4143.8116 10.3644 0.951127
4144.7658 7.96623 0.912548
4145.7203 9.54373 0.930577
4146.6750 9.30945 0.911944
4147.6299 7.64593 0.878170
4148.5851 8.53430 0.872788
4149.5404 8.97662 0.894306
4150.4960 8.60111 0.910009
4151.4518 11.7070 0.939006
4152.4078 10.3206 0.912947
4153.3641 10.0288 0.923853
4154.3205 9.52196 0.918127
4155.2772 9.19076 0.907241
4156.2341 8.96154 0.914366
4157.1912 7.79523 0.916957
4158.1485 10.5864 0.947333
4159.1061 10.7552 0.940550
4160.0639 10.3871 0.922786
4161.0219 10.8518 0.931889
4161.9801 10.6966 0.944688
4162.9385 8.67001 0.939284
4163.8972 8.52151 0.973493
4164.8561 9.28348 1.00689
4165.8152 9.57979 1.03943
4166.7745 10.3162 0.980741
4167.7341 10.8423 0.976379
4168.6938 9.29625 0.944793
4169.6538 10.7973 0.955388
4170.6140 11.3554 0.960004
