6439.03 1.189e-14 4.486e-15
6440.51 6.991e-15 4.519e-15
6441.99 3.655e-15 4.680e-15
6443.47 4.697e-15 4.834e-15
6444.96 1.168e-15 4.701e-15
6446.44 2.889e-15 4.409e-15
6447.93 8.937e-15 4.250e-15
6449.41 6.872e-15 4.307e-15
6450.90 -4.674e-15 4.177e-15
6452.38 8.593e-15 4.194e-15
6453.87 6.228e-15 4.257e-15
6455.35 9.172e-15 4.210e-15
6456.84 9.276e-15 4.297e-15
6458.33 3.403e-15 4.235e-15
6459.82 1.010e-15 4.239e-15
6461.30 -3.103e-15 4.246e-15
6462.79 4.719e-15 4.218e-15
6464.28 1.380e-14 4.191e-15
6465.77 3.739e-15 4.330e-15
6467.26 6.831e-15 4.333e-15
6468.75 3.561e-15 4.415e-15
6470.24 7.086e-15 4.399e-15
6471.73 5.010e-16 4.584e-15
6473.22 -1.199e-15 4.650e-15
6474.71 1.693e-15 4.435e-15
6476.20 -8.301e-16 4.323e-15
6477.69 3.356e-15 4.190e-15
6479.18 1.368e-14 4.222e-15
6480.67 1.476e-16 4.233e-15
6482.17 1.191e-14 4.193e-15
6483.66 9.984e-15 4.095e-15
6485.15 1.154e-14 4.153e-15
6486.64 1.826e-14 4.251e-15
6488.14 1.713e-14 4.286e-15
6489.63 9.274e-15 4.207e-15
6491.13 4.173e-15 4.129e-15
6492.62 1.255e-14 4.056e-15
6494.12 7.014e-15 4.151e-15
6495.61 7.245e-15 4.204e-15
6497.11 1.041e-14 4.020e-15
6498.60 7.147e-15 4.022e-15
6500.10 1.465e-15 4.170e-15
6501.60 1.430e-15 4.187e-15
6503.10 7.974e-15 4.254e-15
6504.59 1.067e-14 4.295e-15
6506.09 1.993e-16 4.184e-15
6507.59 4.543e-15 4.097e-15
6509.09 1.460e-14 4.261e-15
6510.59 9.242e-15 4.367e-15
6512.09 -3.388e-16 4.141e-15
6513.59 8.483e-15 4.056e-15
6515.09 5.171e-15 4.070e-15
6516.59 1.001e-14 4.058e-15
6518.09 1.039e-14 4.122e-15
6519.59 4.519e-15 4.140e-15
6521.09 4.143e-15 4.173e-15
6522.59 -1.056e-15 4.219e-15
6524.09 1.285e-14 4.371e-15
6525.60 3.391e-15 4.267e-15
6527.10 1.016e-14 4.062e-15
6528.60 1.358e-14 4.119e-15
6530.10 9.414e-15 4.164e-15
6531.61 1.261e-14 4.128e-15
6533.11 5.031e-15 4.195e-15
6534.62 8.499e-15 4.226e-15
6536.12 1.073e-14 4.403e-15
6537.63 2.750e-15 4.399e-15
6539.13 1.163e-14 4.340e-15
6540.64 1.247e-14 4.225e-15
6542.14 6.541e-15 4.237e-15
6543.65 7.626e-15 4.462e-15
6545.16 4.077e-15 4.644e-15
6546.67 3.998e-15 4.638e-15
6548.17 1.053e-14 4.702e-15
6549.68 8.071e-15 4.839e-15
6551.19 9.436e-15 4.667e-15
6552.70 6.065e-15 4.454e-15
6554.21 1.216e-14 4.238e-15
6555.72 9.864e-15 4.153e-15
6557.23 5.988e-15 4.037e-15
6558.74 8.372e-15 4.191e-15
6560.25 1.275e-14 4.896e-15
6561.76 3.286e-14 8.715e-15
6563.27 8.828e-14 1.773e-14
6564.78 1.022e-13 2.229e-14
6566.29 1.036e-13 1.363e-14
6567.80 2.750e-14 6.300e-15
6569.32 1.080e-14 4.315e-15
6570.83 7.047e-15 4.121e-15
6572.34 1.009e-14 4.242e-15
6573.86 5.265e-15 4.225e-15
6575.37 9.255e-15 4.290e-15
6576.88 5.025e-15 4.220e-15
6578.40 1.212e-14 4.333e-15
6579.91 3.570e-15 4.221e-15
6581.43 1.197e-14 4.392e-15
6582.94 7.894e-15 4.952e-15
6584.46 1.554e-14 5.765e-15
6585.98 2.240e-14 5.828e-15
6587.49 1.841e-14 4.977e-15
6589.01 5.999e-15 4.408e-15
6590.53 6.596e-15 4.281e-15
6592.04 1.193e-14 4.235e-15
6593.56 1.025e-14 4.199e-15
6595.08 1.981e-15 4.207e-15
6596.60 1.210e-14 4.237e-15
6598.12 7.469e-15 4.276e-15
6599.64 1.286e-14 4.987e-15
6601.16 7.376e-15 4.922e-15
6602.68 1.530e-14 4.315e-15
6604.20 1.226e-14 4.352e-15
6605.72 4.314e-15 4.292e-15
6607.24 1.093e-14 4.327e-15
6608.76 9.497e-15 4.295e-15
6610.28 1.377e-14 4.295e-15
6611.81 1.583e-14 4.259e-15
6613.33 1.308e-14 4.179e-15
6614.85 8.632e-15 4.190e-15
6616.38 7.283e-15 4.207e-15
6617.90 5.034e-15 4.168e-15
6619.42 1.731e-14 4.168e-15
6620.95 1.020e-14 4.163e-15
6622.47 3.635e-15 4.154e-15
6624.00 1.182e-14 4.169e-15
6625.52 1.381e-14 4.140e-15
6627.05 8.952e-15 4.117e-15
6628.57 7.038e-15 4.134e-15
6630.10 -2.396e-16 4.159e-15
6631.63 -2.347e-15 4.142e-15
6633.15 7.572e-15 4.156e-15
